operator,binding_energy,repressor,inducer_uM,m0p0,m1p0,m2p0,m3p0,m4p0,m5p0,m6p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3,m3p1,m2p2,m1p3,m0p4,m4p1,m3p2,m2p3,m1p4,m0p5,m5p1,m4p2,m3p3,m2p4,m1p5,m0p6
O1,-15.3,0.0,0,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,0.1,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,5,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,10,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,25,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,50,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,75,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,100,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,250,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,500,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,1000,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
O1,-15.3,0.0,5000,1.0000006274546485,15.465069672222945,322.6757291993396,8592.93638553071,278504.3623029047,10548925.498051256,452611127.2986134,7732.570561413995,127212.93461480031,62400265.46076602,2815367.804986068,1093397282.9768786,525839559145.82245,78666437.9511033,25548465557.900692,9793618240328.744,4622234122585021.0,2639464950.845814,743549004143.9283,240038427563272.4,9.106553856187547e+16,4.2271716644178256e+19,102309446716.37187,25649526852448.31,7223463902511012.0,2.324187094927579e+18,8.751674462205343e+20,4.0072749140140825e+23
